ID,TL,Depth,mean Rug,ID.chapter,Site,Life stage,Species,Pavement,Coarse rubble,Fine rubble,Sand,Algae,Soft Coral,Coarse Branching,Fine Branching,Mounding Coral,"Other (clam, sponges, holes)"
285,3.2,2.1,2.086666667,148,2,juvenile,amboinensis,10,5,1,2,0,67,0,0,15,0
286,4.1,1.8,1.533333333,149,2,juvenile,chrysurus,32,5,7,25,5,12,1,6,5,2
287,3.7,1.9,1.44,150,2,juvenile,chrysurus,31,29,8,8,5,9,0,2,8,0
288,3.6,3.7,1.5,169,3,juvenile,amboinensis,30,1,4,54,0,0,0,11,0,0
289,4.5,2.5,1.673333333,170,3,juvenile,moluccensis,60,0,3,2,0,0,0,15,17,3
290,4.9,3.4,2.413333333,171,3,juvenile,moluccensis,32,8,0,27,1,3,0,8,20,1
291,4.4,2,2.246666667,172,3,juvenile,moluccensis,18,11,18,0,2,26,0,25,0,0
292,4.2,1.2,1.626666667,173,3,juvenile,chrysurus,50,4,19,3,2,2,0,0,20,0
293,3.0,1.7,1.746666667,174,3,juvenile,chrysurus,37,12,23,11,4,3,4,6,0,0
294,3.3,1.8,1.713333333,175,3,juvenile,amboinensis,46,23,6,5,0,5,0,13,2,0
295,4.5,1.5,1.666666667,176,3,juvenile,chrysurus,35,3,15,11,9,3,0,12,11,1
296,3.2,3.6,1.933333333,177,3,juvenile,amboinensis,8,24,4,38,0,25,0,0,1,0
297,3.5,3.2,1.453333333,178,2,juvenile,amboinensis,36,8,3,45,0,8,0,0,0,0
298,4.4,3,1.693333333,179,2,juvenile,amboinensis,16,2,1,42,2,13,0,0,24,0
299,4.5,1.8,2.526666667,180,2,juvenile,moluccensis,24,31,6,7,1,2,29,0,0,0
300,4.2,2,1.52,181,2,juvenile,chrysurus,43,7,5,6,9,29,0,0,0,1
301,3.8,1.6,1.666666667,182,2,juvenile,chrysurus,34,16,33,2,9,4,0,0,2,0
302,4.3,1.9,1.726666667,183,2,juvenile,chrysurus,10,1,0,35,1,48,0,4,1,0
303,3.5,2,1.706666667,184,2,juvenile,moluccensis,58,2,5,10,3,1,1,19,1,0
304,3.9,2.3,1.96,185,2,juvenile,moluccensis,37,5,14,0,6,12,1,16,9,0
305,3.3,3.3,1.933333333,186,2,juvenile,amboinensis,28,0,0,13,7,23,0,9,20,0
306,8.0,3.8,1.595,1,3,adult,moluccensis,18.4,8.8,2.4,44.8,0,4.8,0,4,16.8,0
307,9.0,3.8,1.6,2,3,adult,amboinensis,12,29.6,11.2,44,0,3.2,0,0,0,0
308,7.0,2.2,1.93,3,3,adult,moluccensis,37.6,0,2.4,0,0,7.2,26.4,0.8,25.6,0
309,7.0,1.4,1.235,4,3,adult,chrysurus,46.4,1.6,9.6,12,0.8,17.6,0,6.4,5.6,0
310,7.0,1.8,1.455,5,3,adult,chrysurus,49.6,6.4,9.6,0.8,6.4,10.4,5.6,0,11.2,0
311,8.0,3.8,1.4,6,3,adult,amboinensis,40,12,4,37.6,2.4,0,1.6,0,2.4,0
312,8.0,3.1,1.25,7,2,adult,amboinensis,22.4,4.8,12.8,48.8,0,0,0,0.8,10.4,0
313,6.0,1.7,1.8,8,2,adult,moluccensis,12.8,16,34.4,0,4.8,30.4,0,0.8,0.8,0
314,6.0,1.9,2.015,9,2,adult,moluccensis,36,5.6,9.6,13.6,8.8,12.8,0,7.2,7.2,0
315,8.0,2.7,1.455,10,2,adult,amboinensis,8,15.2,0,76.8,0,0,0,0,0,0
316,8.0,1.6,1.45,11,2,adult,chrysurus,45.6,4,13.6,8,6.4,12.8,0,2.4,7.2,0
317,8.0,1.7,1.38,12,2,adult,amboinensis,13.6,6.4,0.8,47.2,0,27.2,0,0,4.8,0
318,7.0,1.4,1.805,13,2,adult,chrysurus,32,3.2,18.4,10.4,0,28,1.6,2.4,3.2,0.8
319,6.0,1.4,1.5,14,2,adult,chrysurus,39.2,12,18.4,2.4,10.4,0.8,0,0.8,16,0
320,5.0,1.5,1.71,15,2,adult,moluccensis,21.6,0.8,5.6,1.6,0.8,53.6,0,9.6,2.4,4
321,7.0,1.6,2.295,16,2,adult,chrysurus,37.6,0,8.8,12.8,4.8,12,20.8,3.2,0,0
322,6.0,1.6,2.16,17,2,adult,moluccensis,47.2,12,2.4,4,4,8,0,8,14.4,0
323,7.0,3,1.19,18,2,adult,amboinensis,26.4,8.8,12,49.6,0,2.4,0.8,0,0,0
324,6.0,3.5,2.335,19,3,adult,moluccensis,12,12.8,25.6,28.8,0,11.2,0,8.8,0.8,0
325,7.0,3.4,1.625,20,3,adult,moluccensis,41.6,12,11.2,14.4,3.2,3.2,0,8,6.4,0
326,8.0,3.6,1.33,21,3,adult,moluccensis,18.4,12,7.2,40,0,2.4,0,4.8,13.6,1.6
327,9.0,3.5,1.58,22,3,adult,amboinensis,29.6,6.4,0.8,22.4,0,16.8,0,4,20,0
328,7.0,3.7,1.225,23,3,adult,amboinensis,17.6,7.2,13.6,61.6,0,0,0,0,0,0
329,6.0,1.6,1.47,24,3,adult,chrysurus,36,9.6,36,3.2,0,0,0,11.2,3.2,0.8
330,7.0,1.6,1.555,25,3,adult,chrysurus,59.2,0.8,4,13.6,2.4,0.8,0,8,10.4,0.8
331,7.0,1.8,1.355,26,3,adult,chrysurus,30.4,15.2,5.6,32.8,0.8,8,0,0,4.8,2.4
332,7.0,1.8,2.575,27,3,adult,moluccensis,8.8,4,2.4,17.6,0.8,53.6,0,0,12.8,0
333,7.0,2.1,1.565,28,3,adult,amboinensis,0.8,2.4,0.8,64.8,0,29.6,0,0,1.6,0
334,7.0,1.9,1.335,29,3,adult,chrysurus,46.4,13.6,5.6,8,2.4,0.8,0,4,18.4,0.8
335,7.0,1.4,1.69,30,2,adult,chrysurus,50.4,4,15.2,4,6.4,6.4,0,5.6,8,0
336,7.0,1.3,2.33,31,2,adult,chrysurus,32.8,2.4,18.4,9.6,6.4,11.2,18.4,0.8,0,0
337,7.0,1.5,2.03,32,2,adult,amboinensis,15.2,2.4,0.8,38.4,0,12.8,0,6.4,24,0
338,6.0,1.4,1.17,33,2,adult,amboinensis,27.2,2.4,4.8,3.2,2.4,0,0,7.2,51.2,1.6
339,6.0,1.7,2.105,34,2,adult,moluccensis,44,14.4,8.8,4.8,4,16,0,4,4,0
340,7.0,1.9,1.335,35,2,adult,amboinensis,8.8,2.4,2.4,31.2,1.6,7.2,0,1.6,44.8,0
341,6.0,2.1,2.515,36,2,adult,moluccensis,14.4,7.2,3.2,3.2,1.6,8.8,0,10.4,45.6,5.6
342,7.0,1.3,1.475,37,2,adult,chrysurus,34.4,3.2,7.2,2.4,6.4,28.8,0,0,17.6,0
343,6.0,1.1,1.325,38,2,adult,moluccensis,34.4,3.2,9.6,5.6,3.2,12,0.8,12,15.2,4
344,7.0,1.2,1.615,39,2,adult,amboinensis,33.6,3.2,8.8,35.2,0,13.6,0,5.6,0,0
345,7.0,1.6,1.35,40,2,adult,chrysurus,29.6,13.6,15.2,18.4,2.4,15.2,0,1.6,4,0
346,6.0,1.5,2.04,41,2,adult,moluccensis,35.2,11.2,20.8,6.4,4,0.8,0,8.8,1.6,11.2
347,7.0,2.8,1.685,42,3,adult,moluccensis,26.4,1.6,4,3.2,0.8,0,4,22.4,37.6,0
348,6.0,2.4,2.105,43,3,adult,moluccensis,26.4,0.8,1.6,0.8,0,52,0,4.8,12.8,0.8
349,6.0,3.4,1.49,44,3,adult,amboinensis,11.2,10.4,19.2,51.2,0,0,0,5.6,2.4,0
350,7.0,3,1.505,45,3,adult,moluccensis,12.8,12,16.8,36.8,1.6,9.6,0,7.2,3.2,0
351,8.0,2.4,1.21,46,3,adult,amboinensis,4,24,2.4,61.6,2.4,0,5.6,0,0,0
352,7.0,1.4,1.485,47,3,adult,chrysurus,6.4,12.8,3.2,59.2,4,4.8,0,9.6,0,0
353,7.0,1.3,1.65,48,3,adult,chrysurus,47.2,7.2,8.8,8,6.4,0,0,8,14.4,0
354,7.0,1.3,1.275,49,3,adult,chrysurus,30.4,6.4,32,9.6,0.8,15.2,0,0.8,4.8,0
355,7.0,1.3,1.2,50,3,adult,chrysurus,20.8,16,36,7.2,0,17.6,0,0,2.4,0
356,8.0,1.4,1.835,51,3,adult,amboinensis,10.4,3.2,0,52,0,10.4,23.2,0,0.8,0
357,7.0,1.5,1.255,52,3,adult,amboinensis,36.8,0.8,1.6,37.6,1.6,4,0,7.2,9.6,0.8
358,6.0,1.5,2.225,53,3,adult,moluccensis,17.6,0.8,0,8.8,0,68,0,4,0,0.8
359,7.0,2.7,1.585,54,2,adult,amboinensis,9.6,1.6,1.6,20.8,0.8,47.2,2.4,0.8,15.2,0
360,6.0,2.9,1.575,55,2,adult,chrysurus,16.8,14.4,1.6,37.6,2.4,20.8,0,6.4,0,0
361,6.0,2.6,1.5,56,2,adult,moluccensis,7.2,0,0,14.4,1.6,67.2,0,0,9.6,0
362,7.0,2.3,1.95,57,2,adult,moluccensis,48.8,4.8,0,4.8,3.2,22.4,0,8.8,7.2,0
363,7.0,2.8,1.455,58,2,adult,amboinensis,12,2.4,1.6,72.8,0,10.4,0,0,0.8,0
364,6.0,2.4,1.425,59,2,adult,chrysurus,12,35.2,48,0.8,3.2,0.8,0,0,0,0
365,8.0,2.1,3.215,60,2,adult,moluccensis,41.6,0,0.8,4.8,0.8,47.2,0,2.4,2.4,0
366,8.0,1.5,2.45,61,2,adult,moluccensis,46.4,4,0,1.6,0.8,0,0,19.2,28,0
367,8.0,1.7,1.47,62,2,adult,chrysurus,48,13.6,12,8,2.4,9.6,4,0,1.6,0.8
368,8.0,2.7,1.185,63,2,adult,amboinensis,10.4,16.8,15.2,52,2.4,3.2,0,0,0,0
369,8.0,2,1.435,64,2,adult,chrysurus,40.8,19.2,18.4,15.2,3.2,0.8,0,2.4,0,0
370,7.0,3,1.28,65,2,adult,amboinensis,23.2,6.4,1.6,52,0,16,0,0.8,0,0
371,6.0,2.9,1.31,66,2,adult,amboinensis,12,20.8,36,28.8,0,2.4,0,0,0,0
372,7.0,1.9,2.2,67,3,adult,moluccensis,18.4,2.4,2.4,0.8,0,35.2,0,4,34.4,2.4
373,8.0,2.4,2.085,68,3,adult,moluccensis,22.4,0.8,2.4,0,1.6,16.8,0,0.8,55.2,0
374,6.0,1.5,1.965,69,3,adult,moluccensis,14.4,2.4,4.8,1.6,3.2,56,0,15.2,2.4,0
375,7.0,2.3,1.535,70,3,adult,chrysurus,41.6,8.8,21.6,14.4,2.4,4,0.8,4.8,1.6,0
376,7.0,1.6,1.765,71,3,adult,amboinensis,16.8,0,2.4,32,4,24,0,12.8,8,0
377,7.0,1.4,1.13,72,3,adult,chrysurus,38.4,0,7.2,25.6,3.2,12,0,8,4.8,0.8
378,7.0,1.4,1.275,73,3,adult,chrysurus,36,0.8,1.6,29.6,6.4,3.2,0,11.2,10.4,0.8
379,8.0,1.5,1.395,74,3,adult,amboinensis,26.4,3.2,2.4,25.6,0.8,13.6,0,5.6,21.6,0.8
380,7.0,1.5,1.19,75,3,adult,amboinensis,9.6,6.4,4.8,48.8,0,23.2,0,4,3.2,0
381,8.0,1.4,1.265,76,3,adult,chrysurus,50.4,0,1.6,14.4,4.8,15.2,0,4,8,1.6
382,6.0,1.3,1.515,77,3,adult,moluccensis,36.8,3.2,3.2,0.8,0,39.2,0,7.2,7.2,2.4
383,8.0,1.5,1.245,78,3,adult,amboinensis,16.8,2.4,7.2,44.8,0.8,13.6,0,0,14.4,0
384,7.0,2.7,1.215,79,2,adult,amboinensis,44.8,14.4,4,23.2,0,7.2,0,2.4,3.2,0.8
385,7.0,2.9,1.355,80,2,adult,amboinensis,32,5.6,0,41.6,0,1.6,0,9.6,9.6,0
386,7.0,2.5,1.485,81,2,adult,moluccensis,24.8,1.6,4.8,15.2,0,19.2,0,1.6,32.8,0
387,6.0,2.6,1.835,82,2,adult,moluccensis,21.6,27.2,28.8,2.4,2.4,9.6,1.6,0,6.4,0
388,5.0,2.2,1.945,83,2,adult,moluccensis,36.8,3.2,0,0.8,1.6,24.8,11.2,0,15.2,6.4
389,8.0,2.4,1.7,84,2,adult,amboinensis,14.4,29.6,21.6,26.4,0,5.6,0,0,2.4,0
390,7.0,2.5,1.69,85,2,adult,amboinensis,7.2,40.8,12,38.4,0.8,0.8,0,0,0,0
391,6.0,2.4,1.825,86,2,adult,moluccensis,12.8,1.6,5.6,24.8,0.8,48.8,0,0,5.6,0
392,7.0,1.4,1.46,87,2,adult,chrysurus,33.6,19.2,12,8,2.4,15.2,0,0.8,8,0.8
393,7.0,1.6,1.505,88,2,adult,chrysurus,16.8,27.2,27.2,9.6,0,7.2,0,3.2,1.6,7.2
394,7.0,1.6,1.4,89,2,adult,chrysurus,10.4,17.6,25.6,17.6,2.4,24.8,0,0,0,1.6
395,7.0,1.3,1.325,90,2,adult,chrysurus,64,0.8,8.8,5.6,0.8,4.8,0,4,11.2,0
396,NA,1.2,1.967,338,3,control,control,42,0,4,0,14,23,0,6,10,1
397,NA,1.7,1.267,339,3,control,control,25,24,32,12,1,1,1,4,0,0
398,NA,1.6,1.36,340,3,control,control,42,6,19,25,6,1,0,0,1,0
399,NA,1.5,1.54,341,2,control,control,59,13,5,0,0,3,0,8,8,4
400,NA,1.2,1.473,342,2,control,control,53,0,0,2,7,8,2,4,13,11
401,NA,1.6,1.653,343,2,control,control,18,0,0,56,0,17,0,4,5,0
402,NA,1.1,1.64,344,2,control,control,60,0,1,0,5,7,0,8,9,10
403,NA,1.8,1.52,345,2,control,control,45,5,6,8,2,8,0,8,18,0
404,NA,1.5,1.66,346,2,control,control,38,7,6,4,2,4,0,0,39,0
405,NA,1.4,1.547,347,2,control,control,42,8,23,21,0,0,0,3,1,2
406,NA,1.1,1.467,348,2,control,control,27,3,1,29,7,31,0,2,0,0
407,NA,1.1,1.6,349,2,control,control,41,5,8,3,14,28,0,1,0,0
408,NA,1.4,1.86,350,3,control,control,32,1,18,1,2,4,1,17,22,2
409,NA,2.3,1.573,351,3,control,control,43,0,5,1,7,24,4,9,5,2
410,NA,2.5,1.6,352,3,control,control,29,0,2,1,5,35,0,7,21,0
411,NA,2.4,1.52,353,3,control,control,37,3,18,20,2,1,0,0,19,0
412,NA,1.6,1.62,354,3,control,control,31,8,15,5,7,10,0,3,21,0
413,NA,1.5,1.427,355,3,control,control,38,14,18,2,12,3,0,3,9,1
414,NA,1.3,1.56,356,3,control,control,60,3,8,7,1,15,0,0,6,0
415,NA,1.1,1.387,357,3,control,control,31,14,10,9,8,9,0,3,15,1
416,NA,1.3,1.567,358,3,control,control,36,11,21,17,3,4,0,5,3,0
417,NA,1.2,1.553,359,3,control,control,21,18,12,1,3,39,0,2,1,3
418,NA,2,1.533,360,2,control,control,39,24,7,1,6,4,0,9,7,3
419,NA,1.9,1.967,361,2,control,control,57,0,7,0,8,3,0,14,10,1
420,NA,1.6,1.567,362,2,control,control,63,3,5,4,7,9,0,3,3,3
421,NA,1.5,1.673,363,2,control,control,33,9,11,8,1,19,0,3,16,0
422,NA,1.8,1.62,364,2,control,control,23,3,10,23,4,30,2,0,5,0
423,NA,1.6,1.94,365,2,control,control,33,4,1,5,11,33,4,5,4,0
424,NA,1.1,2,366,2,control,control,20,1,1,2,4,65,3,0,3,1
425,NA,2.1,1.46,367,2,control,control,30,8,14,27,4,6,0,1,10,0
426,NA,2.4,1.493,368,2,control,control,14,20,11,51,0,4,0,0,0,0
427,NA,1.6,2.053,369,2,control,control,9,46,18,2,12,11,0,0,2,0
428,NA,1.5,1.507,370,2,control,control,38,0,0,8,4,48,0,2,0,0
429,NA,2.4,1.72,371,2,control,control,27,5,8,36,3,19,0,0,0,2
430,NA,2.3,1.54,372,2,control,control,17,1,8,18,7,37,0,6,6,0
431,NA,2.4,1.4,373,2,control,control,30,2,4,27,4,0,0,1,31,1
432,NA,2.1,1.88,374,2,control,control,48,4,8,0,5,4,0,16,13,2
433,NA,2.3,1.907,375,2,control,control,32,2,3,1,8,19,0,10,18,7
434,NA,2.4,1.307,376,2,control,control,22,4,11,39,6,1,7,5,5,0
435,NA,2.4,1.373,377,2,control,control,12,27,35,6,6,12,0,0,2,0
436,NA,2.3,2.033,378,2,control,control,53,8,18,5,1,0,0,2,11,2
437,NA,1.4,2.08,379,3,control,control,19,1,5,9,2,19,33,2,10,0
438,NA,1.3,1.447,380,3,control,control,48,0,11,17,2,5,0,8,8,1
439,NA,1.4,1.533,381,3,control,control,26,3,1,26,1,43,0,0,0,0
440,NA,1.3,1.633,382,3,control,control,16,8,18,3,1,42,0,9,1,2
441,NA,2.8,2.367,383,3,control,control,32,15,13,5,2,23,0,4,6,0
442,NA,3.2,1.64,384,3,control,control,16,2,3,40,0,11,0,3,25,0
443,NA,2.7,2.053,385,3,control,control,43,0,0,0,1,0,0,20,32,4
444,NA,1.2,1.467,386,3,control,control,32,2,1,0,3,6,5,28,21,2
445,NA,2.6,1.967,387,3,control,control,37,15,20,0,3,2,0,21,2,0
446,NA,2.6,1.72,388,3,control,control,27,11,16,11,3,26,0,2,4,0
447,NA,2.2,2.393,389,3,control,control,38,6,5,2,5,17,1,11,12,3
448,NA,2.1,3.013,390,3,control,control,11,0,2,6,0,54,0,16,11,0
449,NA,2,1.807,391,3,control,control,53,11,15,12,2,2,0,3,2,0
450,NA,1.6,2.907,392,3,control,control,36,2,1,5,6,6,13,13,18,0
451,NA,1.9,1.393,393,3,control,control,50,5,16,13,4,4,0,6,2,0
452,NA,1.5,1.38,394,3,control,control,41,7,15,7,2,11,0,12,5,0
453,NA,1.6,1.667,395,3,control,control,41,25,7,9,2,3,0,7,5,1
454,NA,1.3,1.62,396,3,control,control,35,5,3,3,9,0,0,3,34,8
455,NA,1.5,2.347,397,3,control,control,48,2,11,5,8,2,0,15,9,0
456,NA,1.8,1.913,398,3,control,control,56,3,3,0,4,3,7,18,2,4
457,NA,1.9,2.113,399,3,control,control,16,3,13,16,15,13,16,8,0,0
458,NA,1.9,1.647,400,3,control,control,50,8,2,8,3,0,3,14,11,1
459,NA,3,1.86,401,2,control,control,60,1,7,6,9,10,0,3,3,1
460,NA,3.6,1.693,402,2,control,control,22,17,1,31,2,26,0,0,1,0
461,NA,3.3,2.527,403,2,control,control,36,0,1,9,4,25,1,4,19,1
462,NA,2.8,2.227,404,2,control,control,20,38,26,0,4,1,0,9,2,0
463,NA,2.5,1.62,405,2,control,control,46,2,8,15,6,7,0,4,12,0
464,NA,2.5,1.787,406,2,control,control,14,1,4,4,2,61,0,0,14,0
465,NA,2,1.6,407,2,control,control,42,1,2,6,6,19,0,16,5,3
