"ID","TL","Depth","mean.Rug","ID.chapter","Site","life_stage","Species","Pavement","Sand","Algae","Soft.cor","Cbranching","Fbranching","Mcoral","Rubble"
305,3.3,3.3,1.933333333,186,"2","juvenile","amboinensis",28,13,7,23,0,9,20,0
306,8,3.8,1.595,1,"3","adult","moluccensis",18.4,44.8,0,4.8,0,4,16.8,11.2
307,9,3.8,1.6,2,"3","adult","amboinensis",12,44,0,3.2,0,0,0,40.8
308,7,2.2,1.93,3,"3","adult","moluccensis",37.6,0,0,7.2,26.4,0.8,25.6,2.4
309,7,1.4,1.235,4,"3","adult","chrysurus",46.4,12,0.8,17.6,0,6.4,5.6,11.2
310,7,1.8,1.455,5,"3","adult","chrysurus",49.6,0.8,6.4,10.4,5.6,0,11.2,16
311,8,3.8,1.4,6,"3","adult","amboinensis",40,37.6,2.4,0,1.6,0,2.4,16
312,8,3.1,1.25,7,"2","adult","amboinensis",22.4,48.8,0,0,0,0.8,10.4,17.6
313,6,1.7,1.8,8,"2","adult","moluccensis",12.8,0,4.8,30.4,0,0.8,0.8,50.4
314,6,1.9,2.015,9,"2","adult","moluccensis",36,13.6,8.8,12.8,0,7.2,7.2,15.2
315,8,2.7,1.455,10,"2","adult","amboinensis",8,76.8,0,0,0,0,0,15.2
316,8,1.6,1.45,11,"2","adult","chrysurus",45.6,8,6.4,12.8,0,2.4,7.2,17.6
317,8,1.7,1.38,12,"2","adult","amboinensis",13.6,47.2,0,27.2,0,0,4.8,7.2
318,7,1.4,1.805,13,"2","adult","chrysurus",32,10.4,0,28,1.6,2.4,3.2,21.6
319,6,1.4,1.5,14,"2","adult","chrysurus",39.2,2.4,10.4,0.8,0,0.8,16,30.4
320,5,1.5,1.71,15,"2","adult","moluccensis",21.6,1.6,0.8,53.6,0,9.6,2.4,6.4
321,7,1.6,2.295,16,"2","adult","chrysurus",37.6,12.8,4.8,12,20.8,3.2,0,8.8
322,6,1.6,2.16,17,"2","adult","moluccensis",47.2,4,4,8,0,8,14.4,14.4
323,7,3,1.19,18,"2","adult","amboinensis",26.4,49.6,0,2.4,0.8,0,0,20.8
324,6,3.5,2.335,19,"3","adult","moluccensis",12,28.8,0,11.2,0,8.8,0.8,38.4
325,7,3.4,1.625,20,"3","adult","moluccensis",41.6,14.4,3.2,3.2,0,8,6.4,23.2
326,8,3.6,1.33,21,"3","adult","moluccensis",18.4,40,0,2.4,0,4.8,13.6,19.2
327,9,3.5,1.58,22,"3","adult","amboinensis",29.6,22.4,0,16.8,0,4,20,7.2
328,7,3.7,1.225,23,"3","adult","amboinensis",17.6,61.6,0,0,0,0,0,20.8
329,6,1.6,1.47,24,"3","adult","chrysurus",36,3.2,0,0,0,11.2,3.2,45.6
330,7,1.6,1.555,25,"3","adult","chrysurus",59.2,13.6,2.4,0.8,0,8,10.4,4.8
331,7,1.8,1.355,26,"3","adult","chrysurus",30.4,32.8,0.8,8,0,0,4.8,20.8
332,7,1.8,2.575,27,"3","adult","moluccensis",8.8,17.6,0.8,53.6,0,0,12.8,6.4
333,7,2.1,1.565,28,"3","adult","amboinensis",0.8,64.8,0,29.6,0,0,1.6,3.2
334,7,1.9,1.335,29,"3","adult","chrysurus",46.4,8,2.4,0.8,0,4,18.4,19.2
335,7,1.4,1.69,30,"2","adult","chrysurus",50.4,4,6.4,6.4,0,5.6,8,19.2
336,7,1.3,2.33,31,"2","adult","chrysurus",32.8,9.6,6.4,11.2,18.4,0.8,0,20.8
337,7,1.5,2.03,32,"2","adult","amboinensis",15.2,38.4,0,12.8,0,6.4,24,3.2
338,6,1.4,1.17,33,"2","adult","amboinensis",27.2,3.2,2.4,0,0,7.2,51.2,7.2
339,6,1.7,2.105,34,"2","adult","moluccensis",44,4.8,4,16,0,4,4,23.2
340,7,1.9,1.335,35,"2","adult","amboinensis",8.8,31.2,1.6,7.2,0,1.6,44.8,4.8
341,6,2.1,2.515,36,"2","adult","moluccensis",14.4,3.2,1.6,8.8,0,10.4,45.6,10.4
342,7,1.3,1.475,37,"2","adult","chrysurus",34.4,2.4,6.4,28.8,0,0,17.6,10.4
343,6,1.1,1.325,38,"2","adult","moluccensis",34.4,5.6,3.2,12,0.8,12,15.2,12.8
344,7,1.2,1.615,39,"2","adult","amboinensis",33.6,35.2,0,13.6,0,5.6,0,12
345,7,1.6,1.35,40,"2","adult","chrysurus",29.6,18.4,2.4,15.2,0,1.6,4,28.8
346,6,1.5,2.04,41,"2","adult","moluccensis",35.2,6.4,4,0.8,0,8.8,1.6,32
347,7,2.8,1.685,42,"3","adult","moluccensis",26.4,3.2,0.8,0,4,22.4,37.6,5.6
348,6,2.4,2.105,43,"3","adult","moluccensis",26.4,0.8,0,52,0,4.8,12.8,2.4
349,6,3.4,1.49,44,"3","adult","amboinensis",11.2,51.2,0,0,0,5.6,2.4,29.6
350,7,3,1.505,45,"3","adult","moluccensis",12.8,36.8,1.6,9.6,0,7.2,3.2,28.8
351,8,2.4,1.21,46,"3","adult","amboinensis",4,61.6,2.4,0,5.6,0,0,26.4
352,7,1.4,1.485,47,"3","adult","chrysurus",6.4,59.2,4,4.8,0,9.6,0,16
353,7,1.3,1.65,48,"3","adult","chrysurus",47.2,8,6.4,0,0,8,14.4,16
354,7,1.3,1.275,49,"3","adult","chrysurus",30.4,9.6,0.8,15.2,0,0.8,4.8,38.4
355,7,1.3,1.2,50,"3","adult","chrysurus",20.8,7.2,0,17.6,0,0,2.4,52
356,8,1.4,1.835,51,"3","adult","amboinensis",10.4,52,0,10.4,23.2,0,0.8,3.2
357,7,1.5,1.255,52,"3","adult","amboinensis",36.8,37.6,1.6,4,0,7.2,9.6,2.4
358,6,1.5,2.225,53,"3","adult","moluccensis",17.6,8.8,0,68,0,4,0,0.8
359,7,2.7,1.585,54,"2","adult","amboinensis",9.6,20.8,0.8,47.2,2.4,0.8,15.2,3.2
360,6,2.9,1.575,55,"2","adult","chrysurus",16.8,37.6,2.4,20.8,0,6.4,0,16
361,6,2.6,1.5,56,"2","adult","moluccensis",7.2,14.4,1.6,67.2,0,0,9.6,0
362,7,2.3,1.95,57,"2","adult","moluccensis",48.8,4.8,3.2,22.4,0,8.8,7.2,4.8
363,7,2.8,1.455,58,"2","adult","amboinensis",12,72.8,0,10.4,0,0,0.8,4
364,6,2.4,1.425,59,"2","adult","chrysurus",12,0.8,3.2,0.8,0,0,0,83.2
365,8,2.1,3.215,60,"2","adult","moluccensis",41.6,4.8,0.8,47.2,0,2.4,2.4,0.8
366,8,1.5,2.45,61,"2","adult","moluccensis",46.4,1.6,0.8,0,0,19.2,28,4
367,8,1.7,1.47,62,"2","adult","chrysurus",48,8,2.4,9.6,4,0,1.6,25.6
368,8,2.7,1.185,63,"2","adult","amboinensis",10.4,52,2.4,3.2,0,0,0,32
369,8,2,1.435,64,"2","adult","chrysurus",40.8,15.2,3.2,0.8,0,2.4,0,37.6
370,7,3,1.28,65,"2","adult","amboinensis",23.2,52,0,16,0,0.8,0,8
371,6,2.9,1.31,66,"2","adult","amboinensis",12,28.8,0,2.4,0,0,0,56.8
372,7,1.9,2.2,67,"3","adult","moluccensis",18.4,0.8,0,35.2,0,4,34.4,4.8
373,8,2.4,2.085,68,"3","adult","moluccensis",22.4,0,1.6,16.8,0,0.8,55.2,3.2
374,6,1.5,1.965,69,"3","adult","moluccensis",14.4,1.6,3.2,56,0,15.2,2.4,7.2
375,7,2.3,1.535,70,"3","adult","chrysurus",41.6,14.4,2.4,4,0.8,4.8,1.6,30.4
376,7,1.6,1.765,71,"3","adult","amboinensis",16.8,32,4,24,0,12.8,8,2.4
377,7,1.4,1.13,72,"3","adult","chrysurus",38.4,25.6,3.2,12,0,8,4.8,7.2
378,7,1.4,1.275,73,"3","adult","chrysurus",36,29.6,6.4,3.2,0,11.2,10.4,2.4
379,8,1.5,1.395,74,"3","adult","amboinensis",26.4,25.6,0.8,13.6,0,5.6,21.6,5.6
380,7,1.5,1.19,75,"3","adult","amboinensis",9.6,48.8,0,23.2,0,4,3.2,11.2
381,8,1.4,1.265,76,"3","adult","chrysurus",50.4,14.4,4.8,15.2,0,4,8,1.6
382,6,1.3,1.515,77,"3","adult","moluccensis",36.8,0.8,0,39.2,0,7.2,7.2,6.4
383,8,1.5,1.245,78,"3","adult","amboinensis",16.8,44.8,0.8,13.6,0,0,14.4,9.6
384,7,2.7,1.215,79,"2","adult","amboinensis",44.8,23.2,0,7.2,0,2.4,3.2,18.4
385,7,2.9,1.355,80,"2","adult","amboinensis",32,41.6,0,1.6,0,9.6,9.6,5.6
386,7,2.5,1.485,81,"2","adult","moluccensis",24.8,15.2,0,19.2,0,1.6,32.8,6.4
387,6,2.6,1.835,82,"2","adult","moluccensis",21.6,2.4,2.4,9.6,1.6,0,6.4,56
388,5,2.2,1.945,83,"2","adult","moluccensis",36.8,0.8,1.6,24.8,11.2,0,15.2,3.2
389,8,2.4,1.7,84,"2","adult","amboinensis",14.4,26.4,0,5.6,0,0,2.4,51.2
390,7,2.5,1.69,85,"2","adult","amboinensis",7.2,38.4,0.8,0.8,0,0,0,52.8
391,6,2.4,1.825,86,"2","adult","moluccensis",12.8,24.8,0.8,48.8,0,0,5.6,7.2
392,7,1.4,1.46,87,"2","adult","chrysurus",33.6,8,2.4,15.2,0,0.8,8,31.2
393,7,1.6,1.505,88,"2","adult","chrysurus",16.8,9.6,0,7.2,0,3.2,1.6,54.4
394,7,1.6,1.4,89,"2","adult","chrysurus",10.4,17.6,2.4,24.8,0,0,0,43.2
395,7,1.3,1.325,90,"2","adult","chrysurus",64,5.6,0.8,4.8,0,4,11.2,9.6
396,NA,1.2,1.967,338,"3","control","control",42,0,14,23,0,6,10,4
397,NA,1.7,1.267,339,"3","control","control",25,12,1,1,1,4,0,56
398,NA,1.6,1.36,340,"3","control","control",42,25,6,1,0,0,1,25
399,NA,1.5,1.54,341,"2","control","control",59,0,0,3,0,8,8,18
400,NA,1.2,1.473,342,"2","control","control",53,2,7,8,2,4,13,0
401,NA,1.6,1.653,343,"2","control","control",18,56,0,17,0,4,5,0
402,NA,1.1,1.64,344,"2","control","control",60,0,5,7,0,8,9,1
403,NA,1.8,1.52,345,"2","control","control",45,8,2,8,0,8,18,11
404,NA,1.5,1.66,346,"2","control","control",38,4,2,4,0,0,39,13
405,NA,1.4,1.547,347,"2","control","control",42,21,0,0,0,3,1,31
406,NA,1.1,1.467,348,"2","control","control",27,29,7,31,0,2,0,4
407,NA,1.1,1.6,349,"2","control","control",41,3,14,28,0,1,0,13
408,NA,1.4,1.86,350,"3","control","control",32,1,2,4,1,17,22,19
409,NA,2.3,1.573,351,"3","control","control",43,1,7,24,4,9,5,5
410,NA,2.5,1.6,352,"3","control","control",29,1,5,35,0,7,21,2
411,NA,2.4,1.52,353,"3","control","control",37,20,2,1,0,0,19,21
412,NA,1.6,1.62,354,"3","control","control",31,5,7,10,0,3,21,23
413,NA,1.5,1.427,355,"3","control","control",38,2,12,3,0,3,9,32
414,NA,1.3,1.56,356,"3","control","control",60,7,1,15,0,0,6,11
415,NA,1.1,1.387,357,"3","control","control",31,9,8,9,0,3,15,24
416,NA,1.3,1.567,358,"3","control","control",36,17,3,4,0,5,3,32
417,NA,1.2,1.553,359,"3","control","control",21,1,3,39,0,2,1,30
418,NA,2,1.533,360,"2","control","control",39,1,6,4,0,9,7,31
419,NA,1.9,1.967,361,"2","control","control",57,0,8,3,0,14,10,7
420,NA,1.6,1.567,362,"2","control","control",63,4,7,9,0,3,3,8
421,NA,1.5,1.673,363,"2","control","control",33,8,1,19,0,3,16,20
422,NA,1.8,1.62,364,"2","control","control",23,23,4,30,2,0,5,13
423,NA,1.6,1.94,365,"2","control","control",33,5,11,33,4,5,4,5
424,NA,1.1,2,366,"2","control","control",20,2,4,65,3,0,3,2
425,NA,2.1,1.46,367,"2","control","control",30,27,4,6,0,1,10,22
426,NA,2.4,1.493,368,"2","control","control",14,51,0,4,0,0,0,31
427,NA,1.6,2.053,369,"2","control","control",9,2,12,11,0,0,2,64
428,NA,1.5,1.507,370,"2","control","control",38,8,4,48,0,2,0,0
429,NA,2.4,1.72,371,"2","control","control",27,36,3,19,0,0,0,13
430,NA,2.3,1.54,372,"2","control","control",17,18,7,37,0,6,6,9
431,NA,2.4,1.4,373,"2","control","control",30,27,4,0,0,1,31,6
432,NA,2.1,1.88,374,"2","control","control",48,0,5,4,0,16,13,12
433,NA,2.3,1.907,375,"2","control","control",32,1,8,19,0,10,18,5
434,NA,2.4,1.307,376,"2","control","control",22,39,6,1,7,5,5,15
435,NA,2.4,1.373,377,"2","control","control",12,6,6,12,0,0,2,62
436,NA,2.3,2.033,378,"2","control","control",53,5,1,0,0,2,11,26
437,NA,1.4,2.08,379,"3","control","control",19,9,2,19,33,2,10,6
438,NA,1.3,1.447,380,"3","control","control",48,17,2,5,0,8,8,11
439,NA,1.4,1.533,381,"3","control","control",26,26,1,43,0,0,0,4
440,NA,1.3,1.633,382,"3","control","control",16,3,1,42,0,9,1,26
441,NA,2.8,2.367,383,"3","control","control",32,5,2,23,0,4,6,28
442,NA,3.2,1.64,384,"3","control","control",16,40,0,11,0,3,25,5
443,NA,2.7,2.053,385,"3","control","control",43,0,1,0,0,20,32,0
444,NA,1.2,1.467,386,"3","control","control",32,0,3,6,5,28,21,3
445,NA,2.6,1.967,387,"3","control","control",37,0,3,2,0,21,2,35
446,NA,2.6,1.72,388,"3","control","control",27,11,3,26,0,2,4,27
447,NA,2.2,2.393,389,"3","control","control",38,2,5,17,1,11,12,11
448,NA,2.1,3.013,390,"3","control","control",11,6,0,54,0,16,11,2
449,NA,2,1.807,391,"3","control","control",53,12,2,2,0,3,2,26
450,NA,1.6,2.907,392,"3","control","control",36,5,6,6,13,13,18,3
451,NA,1.9,1.393,393,"3","control","control",50,13,4,4,0,6,2,21
452,NA,1.5,1.38,394,"3","control","control",41,7,2,11,0,12,5,22
453,NA,1.6,1.667,395,"3","control","control",41,9,2,3,0,7,5,32
454,NA,1.3,1.62,396,"3","control","control",35,3,9,0,0,3,34,8
455,NA,1.5,2.347,397,"3","control","control",48,5,8,2,0,15,9,13
456,NA,1.8,1.913,398,"3","control","control",56,0,4,3,7,18,2,6
457,NA,1.9,2.113,399,"3","control","control",16,16,15,13,16,8,0,16
458,NA,1.9,1.647,400,"3","control","control",50,8,3,0,3,14,11,10
459,NA,3,1.86,401,"2","control","control",60,6,9,10,0,3,3,8
460,NA,3.6,1.693,402,"2","control","control",22,31,2,26,0,0,1,18
461,NA,3.3,2.527,403,"2","control","control",36,9,4,25,1,4,19,1
462,NA,2.8,2.227,404,"2","control","control",20,0,4,1,0,9,2,64
463,NA,2.5,1.62,405,"2","control","control",46,15,6,7,0,4,12,10
464,NA,2.5,1.787,406,"2","control","control",14,4,2,61,0,0,14,5
465,NA,2,1.6,407,"2","control","control",42,6,6,19,0,16,5,3
